SinCos
	desktop_32	desktop_64	laptop_32	laptop_64	tablet_32
StdLib	404.756525666667	183.099744	461.678577666667	345.527862	1522.45437133333
Lookup	224.922597	196.917353333333	283.571581666667	280.419573333333	964.874029
GTE	185.077878666667	183.046837	241.261398	288.234519666667	1049.92096033333
DX	146.966387333333	158.808315	182.368773333333	255.184913	801.150462666667
DX_Est	129.837629666667	121.917091	163.068653	186.679042	618.519272666667

BitCount
	desktop_32	desktop_64	laptop_32	laptop_64	tablet_32
Lookup	240.437594	74.874501	284.062135666667	91.4256473333333	597.494531
SSE2	35.058369	34.424449	57.0839126666667	49.550983	192.729353666667
SSSE3	47.0303233333333	44.307335	69.6987886666667	68.1401126666667	296.187269
POPCNT	46.8496296666667	23.1343083333333	58.7766053333333	30.4421453333333	184.878611333333
